Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change,FII Holding Change,MF Holding Change,Promoter Holding Change,Percentage Buy Record,No. of analysts with buy reco,Percentage Upside
Mohite Industries Ltd,MOHITE,Textiles,39.17,20.15,5.87,10.83,NULL,160.83,6.91,0.24,0,0,0,0,NULL,0,NULL
Shubhlaxmi Jewel Art Ltd,SHUBHLAXMI,"Precious Metals, Jewellery & Watches",39.16,46.3,50.2,NULL,NULL,61.7,1.04,0.26,0,0,0,-3.94,NULL,0,NULL
Felix Industries Ltd,FELIX,Water Management,39.09,80.6,47.1,19.01,NULL,12.39,1.31,0.48,NULL,NULL,NULL,NULL,NULL,0,NULL
Munoth Financial Services Ltd,MUNOTHFI,Investment Banking & Brokerage,39.03,79.85,-650.54,-9.17,NULL,0.68,-0.06,0,-4.38,4.38,0,0,NULL,0,NULL
SOFCOM Systems Ltd,SOFCOM,IT Services & Consulting,38.99,96.8,22.67,NULL,NULL,0,-0.33,-2.05,0,0,0,-33.06,NULL,0,NULL
Ameya Precision Engineers Ltd,AMEYA,Industrial Machinery,38.98,52,25.81,NULL,NULL,23.96,2.09,0.58,NULL,NULL,NULL,NULL,NULL,0,NULL
Prakash Woollen & Synthetic Mills Ltd,PWASML,Textiles,38.71,37,-774.18,-1.09,NULL,98.66,-0.13,-0.08,0,0,0,-0.25,NULL,0,NULL
Impex Ferro Tech Ltd,IMPEXFERRO,Iron & Steel,38.67,4.6,-2.31,19.62,NULL,304.42,-16.76,0,0,0,0,0,NULL,0,NULL
Mukand Engineers Ltd,MUKANDENGG,Construction & Engineering,38.66,30.75,-1.75,-29.91,NULL,23.03,-22.06,0.03,0,0,0,0,NULL,0,NULL
Alkosign Ltd,ALKOSIGN,NULL,38.64,70.2,-28.2,NULL,NULL,10.22,-1.57,-0.2,NULL,NULL,NULL,NULL,NULL,0,NULL
Mirae Asset Nifty India Manufacturing ETF,MAMFGETF,Equity,38.62,85.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
TTI Enterprise Ltd,TTIENT,Diversified Financials,38.59,15,643.22,23.56,NULL,14.4,-0.06,-0.12,0,0,0,0,NULL,0,NULL
Nivaka Fashions Ltd,NIVAKA,NULL,38.59,3.76,142.93,-4.5,NULL,12.04,0.29,0.02,0,0,0,0,NULL,0,NULL
Ravileela Granites Ltd,RALEGRA,NULL,38.56,38.35,24.1,-2.79,NULL,36.05,1.4,-0.2,0,0,0,0,NULL,0,NULL
Tirupati Foam Ltd,TIRUFOAM,Home Furnishing,38.54,87.5,21.18,7.21,NULL,102.94,2.53,0.71,0,0,0,0,NULL,0,NULL
Mirae Asset Nifty Midcap 150 ETF,MAM150ETF,Equity,38.5,12.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Lucent Industries Ltd,LUCENT,NULL,38.4,25.6,-640,2.38,NULL,0.36,-0.06,0,0,0,0,0,NULL,0,NULL
Atishay Ltd,ATISHAY,Outsourced services,38.36,33,348.71,-0.64,NULL,21.29,0.29,0.18,0,0,0,0.46,NULL,0,NULL
Crown Lifters Ltd,CROWN,Heavy Machinery,38.29,37.85,-23.78,-1.82,NULL,23.02,4.81,6.42,0,0,0,0,NULL,0,NULL
Piccadily Sugar and Allied Industries Ltd,PICCASUG,Alcoholic Beverages,38.23,16.55,3823.26,24.75,NULL,31.81,0.05,0.04,0,0,0,0,NULL,0,NULL
Yug Decor Ltd,YUG,NULL,38.23,61.15,382.26,7.85,NULL,24.5,0.14,0.04,NULL,NULL,NULL,NULL,NULL,0,NULL
Madhav Marbles and Granites Ltd,MADHAV,Building Products - Granite,38.14,42.4,-7.46,-6.74,NULL,57.51,0.54,5.65,-1.46,0,0,0,NULL,0,NULL
Tulive Developers Ltd,TULIVE,Real Estate,38.13,177,-52.96,NULL,NULL,NULL,-0.72,0,0,0,0,0,NULL,0,NULL
Sylph Technologies Ltd,SYLPH,IT Services & Consulting,38.12,25.55,115.52,-36.81,NULL,1.13,0.39,0.06,0,0,0,0,NULL,0,NULL
Virtual Global Education Ltd,VIRTUALG,NULL,38.11,0.89,97.71,-46.74,NULL,1.61,0.54,0.15,0,0,0,0,NULL,0,NULL
ICL Organic Dairy Products Ltd,ICLORGANIC,NULL,38.08,63.45,544.01,6.91,NULL,3.52,0.09,0.02,NULL,NULL,NULL,NULL,NULL,0,NULL
Shaival Reality Ltd,SHAIVAL,Real Estate,38.07,33.05,-17.63,-47.7,NULL,2.35,-1.02,1.14,0,0,0,0,NULL,0,NULL
Krypton Industries Ltd,KRYPTONQ,Tires & Rubber,38.04,25.1,53.58,6.98,NULL,47.62,1.2,0.49,0.18,0,0,-0.13,NULL,0,NULL
Madhucon Projects Ltd,MADHUCON,Construction & Engineering,37.98,5.1,-0.36,-7.66,NULL,1075.43,-108.47,-2.13,0,0,0,0,NULL,0,NULL
Johnson Pharmacare Ltd,JOHNPHARMA,NULL,37.93,0.71,421.43,130.59,NULL,3.26,0.13,0.04,0,0,0,0,NULL,0,NULL
Samor Reality Ltd,SAMOR,NULL,37.93,50.7,344.78,NULL,NULL,17.38,0.15,0.04,NULL,NULL,NULL,NULL,NULL,0,NULL
Vikas WSP Ltd,VIKASWSP,Agro Products,37.8,1.85,-0.33,-17.88,NULL,221.61,-108.39,6.14,-0.29,0,0,0,NULL,0,NULL
HB Portfolio Ltd,HBPOR,Diversified Financials,37.76,35.9,5.85,41.1,NULL,18.57,6.73,0.27,0.26,0,0,0,NULL,0,NULL
AK Spintex Ltd,AKSPINTEX,NULL,37.74,75.3,21.09,6.45,NULL,72.78,2.68,0.89,0,0,0,0,NULL,0,NULL
Bodhtree Consulting Ltd,BODHTREE,IT Services & Consulting,37.7,18.9,55.44,5.94,NULL,106.29,0.4,-0.28,0,0,0,0,NULL,0,NULL
Tirupati Sarjan Ltd,TIRSARJ,Real Estate,37.7,11.38,22.44,-7.18,NULL,93.09,2.32,0.64,0,0,0,-0.01,NULL,0,NULL
Archana Software Ltd,SSLFINANCE,Software Services,37.55,4.72,-268.23,NULL,NULL,0,-0.14,0,0,0,0,0,NULL,0,NULL
Quest Softech (India) Ltd,QUEST,IT Services & Consulting,37.48,37.8,14.36,27.31,NULL,3.21,3.04,0.43,0,0,0,0,NULL,0,NULL
Axis Nifty ETF,AXISNIFTY,Equity,37.35,197.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Artefact Projects Ltd,ARTEFACT,Construction & Engineering,37.34,56.95,9.04,1.36,NULL,27.1,5.51,1.38,0,-0.21,0,-3.79,NULL,0,NULL
Megri Soft Ltd,MEGRISOFT,IT Services & Consulting,37.29,120.6,69.06,4.43,NULL,2.82,0.71,0.17,0,0,0,0,NULL,0,NULL
Swaraj Suiting Ltd,SWARAJ,Textiles,37.2,54.25,8.16,NULL,NULL,129.3,6.09,1.53,NULL,NULL,NULL,NULL,NULL,0,NULL
Ceejay Finance Ltd,CEEJAY,Consumer Finance,37.12,109.4,7.47,4.68,NULL,17.95,6.94,1.97,0,0,0,0,NULL,0,NULL
BSEL Infrastructure Realty Ltd,BSELINFRA,Real Estate,37.07,4.71,7.61,4.27,NULL,7,5.93,1.06,0,0,0,0,NULL,0,NULL
Jagan Lamps Ltd,JAGANLAM,NULL,37.04,54.6,15.56,27.9,NULL,46.1,3.34,0.96,0,0,0,-0.16,NULL,0,NULL
